Id,Label,viewer_mean
418,APECARRORAMARRO,133
419,MarcoCrepaldi,132
420,KarimKappaMan,131
421,Predax,131
422,AnnaManna,131
423,tymuuss,131
424,giuliapremi,130
425,NNarcos,130
426,SlotVLT_Mike,130
427,ermesmessaggeronerazzurro,129
428,Vincy_KpN,129
429,rhageeVL,129
430,ut7_danipitbull98,129
431,Notus_Tv,129
432,TechSaddy,127
433,thegame966,127
434,ArcadeBoyz,127
435,qsvs_official,127
436,D3peZGaming,127
437,GiadaCristinaBessi,126
438,LOOP_GENETICO,126
439,ilveccio,126
440,Drago,126
441,Daphne_Lain,126
442,DarkAndrossOfficial,125
443,MichaelRighiniTV,125
444,LiberiOltre,125
445,PorkuTV,125
446,Ian91Twitch,125
447,SypherVS,123
448,chessburger_tv,123
449,futurmotta,123
450,lu984,123
451,la1socialtvlive,122
452,FabiegaTW,122
453,DiboTw,122
454,AgentsRange_IT,122
455,ThePruld,122
456,kesi__,121
457,Yucali,121
458,campoaperto,121
459,LeonardoDecarli,121
460,SaraNoisia,120
461,Crypto__Ita,120
462,redenfps,120
463,Mollu,120
464,easyfixroma,120
465,BiboPlayer,120
466,GiornoGaming,119
467,RenzoFranciaTV,119
468,AbsurdTW,119
469,Gigi_TW,119
470,lavocedidajeale,119
471,Queen_Giorgia,118
472,calciomercatoit,118
473,NeverMnd,118
474,tedxpadova,117
475,SlyCapoBranco,117
476,TTDggYT,116
477,nfiregaming,116
478,belola9902,116
479,BiancaisWhite,116
480,drwhi7es,115
481,Dlarzz,115
482,NICHOxDUE,115
483,Rebel1298,115
484,retesport,115
485,Bonssai_,113
486,francescoaliu,113
487,Marco_FFA,113
488,PassioneFiorentina,111
489,MetalMavio,111
490,teleraff,111
491,Drako_it,111
492,federico_leo88,110
493,BergamoLionsTV,110
494,IlSantoneDelloSvapo,110
495,thanosgamer_75,110
496,lespippo,110
497,marcofiero,109
498,ilSalottinoVideo,109
499,Durky23,108
