ID_streamer,ID_game,minutes
2495,1004,1005
2497,1004,3405
2510,1004,1845
2516,1004,6060
2517,1004,1620
2524,1004,600
2525,1004,585
2530,1004,4200
2531,1004,180
2535,1004,855
2538,1004,30
2540,1004,495
2542,1004,1785
2561,1004,3705
2563,1004,915
2574,1004,45
2578,1004,690
2581,1004,120
2590,1004,1005
2593,1004,210
2595,1004,180
2599,1004,135
2606,1004,870
2609,1004,1875
2624,1004,435
2633,1004,1125
2637,1004,90
2654,1004,105
2657,1004,45
2660,1004,135
2677,1004,75
2678,1004,60
2687,1004,225
2690,1004,30
2713,1004,1020
2737,1004,195
2756,1004,990
2758,1004,150
2765,1004,60
2767,1004,90
2770,1004,45
2799,1004,45
2803,1004,75
2805,1004,375
2807,1004,90
2810,1004,435
2817,1004,75
2818,1004,960
2820,1004,705
2827,1004,165
2833,1004,420
2838,1004,105
2849,1004,3720
2850,1004,90
2861,1004,105
2880,1004,165
2897,1004,1440
2916,1004,195
2926,1004,90
2930,1004,1335
2939,1004,75
2944,1004,105
2954,1004,210
2955,1004,45
2957,1004,270
2968,1004,75
2976,1004,30
0,567,30
88,567,90
481,567,90
557,567,75
688,567,420
717,567,75
726,567,75
839,567,255
878,567,60
965,567,60
976,567,105
980,567,30
1024,567,60
1069,567,150
1156,567,90
1230,567,90
1397,567,75
1423,567,60
1471,567,75
1639,567,90
1644,567,165
1697,567,825
1736,567,90
1820,567,120
1853,567,30
1907,567,90
2034,567,90
2043,567,180
2059,567,150
2126,567,30
2182,567,90
2201,567,30
2213,567,60
2222,567,420
2223,567,60
2260,567,45
2269,567,90
2338,567,30
2353,567,105
2467,567,165
2542,567,120
2589,567,60
2673,567,165
2707,567,30
2739,567,60
2748,567,135
2772,567,255
2861,567,105
2909,567,90
2926,567,450
2960,567,120
2963,567,255
0,642,45
1,642,165
5,642,225
7,642,795
19,642,150
33,642,3405
44,642,615
48,642,315
60,642,2790
74,642,2715
80,642,165
99,642,4455
108,642,870
117,642,6825
124,642,75
125,642,4095
129,642,5505
133,642,150
151,642,120
188,642,5970
209,642,4815
212,642,1035
218,642,8235
245,642,2385
255,642,690
262,642,300
267,642,2220
277,642,4470
279,642,1995
289,642,4215
300,642,3795
323,642,525
331,642,1125
333,642,1905
338,642,390
340,642,3345
358,642,4980
368,642,855
386,642,195
401,642,465
402,642,3030
409,642,150
420,642,5070
431,642,30
452,642,2010
462,642,1425
467,642,1905
479,642,3045
482,642,180
485,642,75
495,642,1215
499,642,1650
506,642,3090
513,642,1470
533,642,2400
581,642,2610
593,642,1995
597,642,210
598,642,315
652,642,1320
666,642,435
709,642,225
729,642,4965
741,642,915
748,642,2025
754,642,6075
776,642,45
808,642,3615
823,642,1230
830,642,135
836,642,4575
844,642,2385
862,642,2145
864,642,960
886,642,2085
889,642,3180
895,642,2220
899,642,1395
901,642,1155
908,642,705
909,642,330
911,642,1650
916,642,330
922,642,480
929,642,375
945,642,270
959,642,150
961,642,1065
966,642,945
975,642,1155
979,642,3465
983,642,315
984,642,720
986,642,1605
988,642,4350
991,642,1095
996,642,525
1003,642,3765
1009,642,1560
1013,642,2160
1027,642,105
1038,642,210
1071,642,765
1110,642,1305
1111,642,1860
1116,642,225
1119,642,180
1124,642,450
1130,642,390
1150,642,210
1154,642,2415
1180,642,135
1190,642,330
1209,642,2220
1210,642,30
1238,642,5160
1241,642,195
1243,642,1845
1251,642,2955
1264,642,150
1290,642,555
1330,642,1020
1333,642,45
1357,642,300
1373,642,1320
1379,642,285
1387,642,1230
1408,642,375
1431,642,855
1436,642,1365
1438,642,3870
1448,642,105
1455,642,660
1470,642,495
1587,642,1695
1589,642,1470
1605,642,2580
1620,642,195
1624,642,930
1628,642,90
1635,642,120
1637,642,855
1707,642,690
1736,642,510
1738,642,255
