ID_streamer_i,ID_streamer_j,overlap_percentage
0,403,2.9
0,405,1.5
0,406,1.2
0,409,1.5
0,411,1.1
0,415,3.5
0,417,1.0
0,420,2.8
0,422,1.1
0,432,1.2
0,436,1.1
0,440,3.2
0,441,1.2
0,443,1.2
0,445,2.6
0,450,1.8
0,452,4.3
0,455,3.3
0,457,1.1
0,459,2.4
0,462,1.9
0,463,2.3
0,465,2.2
0,467,1.9
0,469,10.7
0,471,22.4
0,473,1.1
0,475,2.7
0,476,2.7
0,477,4.8
0,478,5.1
0,479,4.5
0,481,8.7
0,482,1.6
0,483,1.2
0,485,1.1
0,488,1.0
0,489,70.7
0,491,1.3
0,496,3.7
0,499,1.3
0,501,2.0
0,503,1.4
0,506,1.4
0,508,3.4
0,511,1.4
0,513,4.5
0,517,2.4
0,524,1.3
0,526,2.3
0,531,1.6
0,533,3.5
0,534,1.3
0,538,2.1
0,539,3.9
0,552,1.0
0,556,1.5
0,557,8.2
0,558,1.4
0,560,1.8
0,563,2.9
0,564,1.2
0,568,1.1
0,573,1.4
0,574,5.2
0,576,8.5
0,577,3.0
0,580,1.3
0,581,4.6
0,589,8.7
0,592,12.1
0,593,2.9
0,595,2.0
0,597,1.9
0,598,1.3
0,601,9.4
0,602,4.2
0,604,1.2
0,606,1.0
0,607,11.8
0,613,3.0
0,617,8.6
0,623,1.5
0,626,1.1
0,630,1.5
0,631,1.4
0,638,1.3
0,639,4.7
0,640,1.0
0,642,1.6
0,644,1.9
0,650,1.7
0,651,1.2
0,652,5.9
0,653,2.9
0,663,1.3
0,665,1.3
0,666,9.2
0,667,2.8
0,672,4.3
0,673,4.9
0,675,1.3
0,682,1.2
0,685,1.3
0,688,9.0
0,690,8.9
0,691,10.3
0,693,1.8
0,696,1.0
0,702,1.4
0,705,1.5
0,706,1.6
0,709,2.7
0,716,11.7
0,717,9.4
0,719,1.4
0,721,3.5
0,724,1.6
0,726,1.3
0,729,1.4
0,734,2.4
0,738,7.6
0,747,14.7
0,748,1.8
0,750,3.3
0,751,10.6
0,754,2.3
0,755,12.9
0,756,10.4
0,759,4.7
0,760,1.1
0,761,10.2
0,767,1.3
0,768,5.1
0,769,1.0
0,772,25.7
0,774,2.5
0,776,1.8
0,779,2.0
0,782,4.0
0,784,1.2
0,785,8.4
0,792,5.1
0,793,10.1
0,797,1.8
0,801,20.6
0,803,3.1
0,805,12.8
0,806,2.5
0,808,1.9
0,822,3.7
0,823,1.6
0,824,4.3
0,825,19.7
0,827,2.2
0,829,1.1
0,836,1.4
0,837,2.3
0,838,4.8
0,840,1.2
0,842,1.0
0,844,2.6
0,846,4.6
0,851,1.0
0,855,10.5
0,862,3.2
0,865,1.2
0,866,1.0
0,874,2.2
0,876,4.9
0,877,14.9
0,878,2.0
0,881,1.8
0,885,6.5
0,886,3.6
0,888,1.2
0,889,2.6
0,892,2.7
0,895,6.3
0,899,11.9
0,900,10.0
0,901,2.7
0,903,1.0
0,905,1.4
0,906,1.1
0,908,2.2
0,909,14.2
0,910,22.6
0,911,2.0
0,912,1.3
0,913,1.2
0,920,1.7
0,921,1.4
0,922,1.4
0,925,1.1
0,929,1.8
0,931,3.5
0,937,1.8
0,944,4.0
0,945,1.2
0,956,1.5
0,958,6.3
0,961,3.5
0,962,1.9
0,965,2.1
0,966,1.4
0,968,2.9
0,971,1.2
0,976,1.4
0,977,1.8
0,978,2.4
0,979,2.5
0,980,1.0
0,981,5.7
0,983,1.8
0,984,1.3
0,987,4.4
0,988,1.9
0,994,6.5
0,996,1.4
0,997,1.3
0,998,2.0
0,1001,2.6
0,1002,2.6
0,1003,1.7
0,1008,3.1
0,1009,2.5
0,1012,1.6
0,1013,3.0
0,1017,1.9
0,1018,1.4
0,1020,2.5
0,1021,6.7
0,1025,1.2
0,1026,1.4
0,1028,4.7
0,1031,1.2
0,1035,3.0
0,1036,10.3
0,1038,2.9
0,1040,1.5
0,1042,3.8
0,1048,5.0
0,1052,2.3
0,1058,1.8
0,1060,1.4
0,1065,1.3
0,1067,1.6
0,1069,18.4
0,1071,1.6
0,1073,4.2
0,1076,2.3
0,1078,2.7
0,1085,6.5
0,1088,1.9
0,1091,11.4
0,1095,1.1
0,1105,6.1
0,1106,1.0
0,1109,1.7
0,1110,5.0
0,1111,2.6
0,1115,1.1
0,1116,6.6
0,1117,1.2
0,1121,9.0
0,1123,5.9
0,1124,2.8
0,1125,1.8
0,1130,2.1
0,1135,2.5
0,1136,5.5
0,1141,2.0
0,1143,10.9
0,1145,2.5
0,1146,1.0
0,1150,2.7
0,1154,2.7
0,1156,1.2
0,1160,1.5
0,1163,1.3
0,1165,11.4
0,1171,1.6
0,1172,19.0
0,1174,2.2
0,1176,1.9
0,1181,1.6
0,1190,2.1
0,1191,3.1
0,1194,21.6
0,1196,4.1
0,1203,2.8
0,1208,2.7
0,1209,1.1
0,1211,3.8
0,1212,1.8
0,1213,2.5
0,1216,4.1
0,1218,9.6
0,1222,1.0
0,1224,4.4
0,1231,4.8
0,1234,1.0
0,1235,1.4
0,1236,1.4
0,1237,2.1
0,1238,2.1
0,1241,2.1
0,1243,6.2
0,1249,3.2
0,1251,1.4
0,1252,1.1
0,1253,4.1
0,1254,2.1
0,1256,1.5
0,1258,2.7
0,1264,3.5
0,1267,1.4
0,1273,1.4
0,1274,1.2
0,1276,2.0
0,1277,3.2
0,1278,2.1
0,1279,1.9
0,1283,1.6
0,1285,1.2
0,1286,1.4
0,1287,2.6
0,1290,2.9
0,1294,4.7
0,1296,1.1
0,1300,1.4
0,1302,2.8
0,1304,1.4
0,1307,2.8
0,1308,4.6
0,1313,3.6
0,1315,2.8
0,1317,11.5
0,1318,46.0
0,1319,2.8
0,1321,7.8
0,1326,6.8
0,1327,4.8
0,1329,45.3
0,1330,1.1
0,1336,13.8
0,1337,4.5
0,1339,5.6
0,1340,10.9
0,1341,17.6
0,1348,2.0
0,1351,2.7
0,1357,2.3
0,1358,8.5
0,1362,2.4
0,1367,2.0
0,1370,2.0
0,1372,4.1
0,1373,2.5
0,1374,1.9
0,1375,1.4
0,1378,2.3
0,1381,5.3
0,1385,1.1
0,1387,11.1
0,1388,3.9
0,1391,1.5
0,1393,3.1
0,1396,3.2
0,1397,7.6
0,1401,1.9
0,1404,2.5
0,1405,1.5
0,1406,1.2
0,1408,4.9
0,1409,1.9
0,1412,2.0
0,1415,12.8
0,1417,5.3
0,1422,1.3
0,1423,1.3
0,1425,1.0
0,1426,5.7
0,1428,5.2
0,1429,1.1
0,1430,14.0
0,1431,1.8
0,1434,1.0
0,1435,7.8
0,1436,18.8
0,1437,2.4
0,1438,5.1
0,1440,1.4
0,1441,1.0
0,1443,5.4
0,1445,5.5
0,1449,3.4
0,1450,17.0
0,1451,5.7
0,1460,3.0
0,1463,1.8
0,1468,4.3
0,1469,5.7
0,1470,1.9
0,1471,1.2
0,1472,5.1
0,1473,8.1
0,1474,2.0
0,1475,24.2
0,1476,1.8
0,1478,2.6
0,1480,1.1
0,1481,1.3
0,1483,7.3
0,1484,2.4
0,1488,7.4
0,1489,18.5
0,1492,1.1
0,1497,17.7
0,1499,1.7
0,1501,17.6
0,1502,18.7
0,1515,5.6
0,1517,1.3
0,1519,10.7
0,1521,9.2
0,1522,2.5
0,1523,1.3
0,1525,6.6
0,1526,2.4
0,1527,13.2
0,1528,1.8
0,1533,1.9
0,1535,4.5
0,1536,2.4
0,1542,1.9
0,1544,3.0
0,1549,4.0
0,1552,2.4
0,1553,5.5
0,1554,3.0
0,1557,2.2
0,1561,2.9
0,1563,20.6
0,1564,2.8
0,1566,2.7
0,1568,3.3
0,1572,2.0
0,1573,1.5
0,1575,2.2
0,1580,1.4
0,1584,11.4
0,1585,2.9
0,1586,2.0
0,1587,4.5
0,1588,1.8
0,1589,1.8
0,1590,8.4
0,1594,10.5
0,1595,1.3
0,1599,1.0
0,1600,3.9
0,1601,16.6
0,1602,2.3
0,1603,1.4
0,1604,4.9
0,1609,2.6
0,1613,1.6
0,1616,4.3
0,1617,1.0
0,1619,7.1
0,1622,8.3
0,1623,3.1
0,1624,2.5
0,1626,3.6
0,1628,18.5
0,1630,1.3
0,1632,1.8
0,1633,4.0
0,1634,3.7
0,1636,1.0
0,1637,2.3
0,1638,1.2
0,1639,4.3
0,1643,1.5
0,1646,2.7
0,1648,1.7
0,1649,1.6
0,1651,1.4
0,1653,1.7
0,1654,1.6
0,1659,7.9
0,1660,5.6
0,1666,2.4
0,1667,1.6
0,1668,3.1
0,1669,1.8
0,1670,1.4
0,1673,2.0
0,1674,2.9
0,1677,1.6
0,1678,4.9
0,1679,4.0
0,1684,1.9
0,1686,4.0
0,1687,1.0
0,1689,1.6
0,1692,1.4
0,1694,3.6
0,1695,1.0
0,1696,5.2
0,1697,2.1
0,1700,1.9
0,1702,4.1
0,1703,2.1
0,1705,2.6
0,1707,2.9
0,1710,2.0
0,1715,1.4
0,1720,3.9
0,1723,27.4
0,1724,1.1
0,1726,10.9
0,1728,17.7
0,1736,1.3
0,1738,4.5
0,1743,1.5
0,1748,1.1
0,1749,1.4
0,1751,1.2
0,1754,2.5
0,1755,1.6
0,1756,2.0
0,1757,1.6
0,1758,3.8
0,1763,3.0
0,1767,3.1
0,1768,2.6
0,1769,1.8
0,1771,1.1
0,1774,5.8
0,1776,3.7
0,1777,4.5
0,1778,1.6
0,1785,1.4
0,1787,4.4
0,1788,3.0
0,1791,2.8
0,1794,2.7
0,1796,1.0
0,1797,1.3
0,1802,1.1
0,1806,6.9
0,1807,1.1
0,1809,6.8
0,1810,5.8
0,1813,1.0
0,1818,1.0
0,1820,6.7
0,1822,6.8
0,1824,5.2
0,1825,3.0
0,1827,6.1
0,1829,1.0
0,1831,9.6
0,1840,5.0
0,1843,2.5
0,1844,2.8
0,1848,6.4
0,1849,1.2
0,1852,2.5
0,1853,14.9
0,1854,1.1
0,1857,2.4
0,1858,18.7
0,1859,8.3
0,1860,6.1
0,1865,3.6
0,1867,1.8
0,1869,3.1
0,1872,1.0
0,1873,2.0
0,1876,1.0
0,1880,1.1
0,1881,1.4
0,1882,1.0
0,1883,4.0
0,1884,20.0
0,1885,2.2
0,1886,3.9
0,1887,7.8
0,1888,1.6
0,1890,1.8
0,1893,1.2
0,1895,6.9
0,1896,1.7
0,1898,1.6
0,1899,1.4
0,1900,1.7
0,1902,1.4
0,1903,1.6
0,1906,3.5
0,1907,2.3
