,twitch_name,steam_name,match_score,twitch_clean,steam_clean
373,Thief Gold,Thief™ Gold,100,thief gold,thief gold
377,WARNO,WARNO,100,warno,
379,Honkai Impact 3rd,Honkai Impact 3rd,100,honkai impact 3rd,
381,The Curse of Monkey Island,The Curse of Monkey Island,100,the curse of monkey island,
382,The Evil Within,The Evil Within,100,the evil within,
383,Nitroplus Blasterz: Heroines Infinite Duel,Nitroplus Blasterz: Heroines Infinite Duel,100,nitroplus blasterz heroines infinite duel,
385,Ultimate Chicken Horse,Ultimate Chicken Horse,100,ultimate chicken horse,
390,Farming Simulator 19,Farming Simulator 19,100,farming simulator 19,
391,Tiny Room Stories: Town Mystery,Tiny Room Stories: Town Mystery,100,tiny room stories town mystery,
392,GRIME,GRIME,100,grime,
393,Tom Clancy's Ghost Recon: Wildlands,Tom Clancy's Ghost Recon® Wildlands,100,tom clancy's ghost recon wildlands,tom clancy's ghost recon wildlands
394,WWE 2K Battlegrounds,WWE 2K BATTLEGROUNDS,100,wwe 2k battlegrounds,wwe 2k battlegrounds
395,Marbles On Stream,Marbles on Stream,100,marbles on stream,marbles on stream
399,Satan's puzzle 666,Satan's puzzle 666,100,satan's puzzle 666,
401,Two Point Hospital,Two Point Hospital,100,two point hospital,
407,Street Fighter V,Street Fighter V,100,street fighter v,
411,UNO,UNO,100,uno,
414,Green Hell,Green Hell,100,green hell,
418,Poppy's Nightmare,Poppy's Nightmare,100,poppy's nightmare,
421,Blood and Bacon,Blood and Bacon,100,blood and bacon,
423,The Door in the Basement,The Door in the Basement,100,the door in the basement,
429,Young Souls,Young Souls,100,young souls,
430,Spore,SPORE™,100,spore,spore
432,Monster Hunter Stories 2: Wings of Ruin,Monster Hunter Stories 2: Wings of Ruin,100,monster hunter stories 2 wings of ruin,
433,Underture,Underture,100,underture,
437,Killing Floor 2,Killing Floor 2,100,killing floor 2,
438,Tails of Iron,Tails of Iron,100,tails of iron,
439,My Child: Lebensborn,My Child Lebensborn,100,my child lebensborn,my child lebensborn
450,Elite: Dangerous,Elite Dangerous,100,elite dangerous,elite dangerous
456,It Takes Two,It Takes Two,100,it takes two,
458,Strange Horticulture,Strange Horticulture,100,strange horticulture,
459,Left 4 Dead,Left 4 Dead,100,left 4 dead,
465,We Were Here,We Were Here,100,we were here,
466,Werewolf: The Apocalypse - Earthblood,Werewolf: The Apocalypse - Earthblood,100,werewolf the apocalypse  earthblood,
470,The Ghost Train,The Ghost Train | 幽霊列車,100,the ghost train,the ghost train
472,A Way Out,A Way Out,100,a way out,
476,Don't Be Afraid,Don't Be Afraid,100,don't be afraid,
478,Tales of Zestiria,Tales of Zestiria,100,tales of zestiria,
