ID_streamer,ID_game,minutes
1034,936,150
1065,936,4440
1083,936,60
1103,936,885
1111,936,120
1119,936,615
1125,936,1440
1136,936,540
1143,936,1575
1145,936,255
1154,936,45
1172,936,720
1208,936,1410
1209,936,300
1218,936,1140
1224,936,3360
1235,936,300
1248,936,30
1262,936,345
1264,936,3855
1273,936,120
1277,936,60
1283,936,105
1287,936,4560
1298,936,285
1307,936,1050
1308,936,720
1313,936,270
1317,936,915
1319,936,4995
1325,936,945
1329,936,30
1333,936,555
1339,936,1620
1351,936,180
1371,936,60
1373,936,2250
1385,936,165
1387,936,615
1391,936,915
1399,936,780
1415,936,1815
1426,936,120
1436,936,75
1451,936,1470
1455,936,45
1459,936,30
1460,936,1650
1463,936,180
1468,936,810
1469,936,4470
1472,936,1170
1484,936,105
1492,936,90
1501,936,375
1516,936,165
1517,936,540
1521,936,150
1523,936,60
1525,936,1185
1527,936,300
1528,936,60
1536,936,120
1553,936,7470
1554,936,1950
1587,936,3915
1590,936,2040
1595,936,90
1598,936,75
1601,936,675
1604,936,720
1613,936,2205
1616,936,2295
1619,936,1845
1620,936,165
1623,936,3090
1624,936,75
1626,936,3255
1633,936,3810
1637,936,255
1651,936,270
1678,936,4410
1686,936,1125
1696,936,795
1705,936,195
1725,936,150
1736,936,465
1769,936,195
1777,936,1695
1779,936,150
1782,936,285
1784,936,180
1788,936,375
1794,936,720
1801,936,90
1813,936,90
1820,936,120
1824,936,75
1829,936,180
1840,936,1500
1844,936,450
1846,936,60
1848,936,1080
1853,936,45
1866,936,105
1880,936,120
1887,936,1335
1895,936,945
1896,936,210
1903,936,405
1906,936,495
1907,936,1155
1913,936,135
1915,936,300
1925,936,135
1941,936,1155
1951,936,1065
1952,936,1035
1955,936,705
1959,936,825
1966,936,2970
1983,936,2670
1985,936,135
1992,936,45
1993,936,405
1999,936,195
2000,936,120
2005,936,1860
2022,936,390
2027,936,60
2028,936,210
2029,936,825
2035,936,1965
2050,936,1215
2056,936,1785
2059,936,525
2062,936,135
2063,936,4395
2067,936,750
2080,936,2340
2085,936,1455
2086,936,915
2097,936,60
2116,936,180
2137,936,135
2140,936,60
2144,936,180
2154,936,255
2160,936,285
2172,936,60
2173,936,75
2181,936,1335
2190,936,1170
2200,936,585
2221,936,2310
2241,936,1770
2247,936,285
2269,936,60
2270,936,690
2274,936,135
2284,936,525
2292,936,5580
2298,936,1155
2302,936,105
2307,936,270
2309,936,300
2315,936,75
2318,936,405
2329,936,135
2330,936,225
2334,936,1200
2335,936,45
2337,936,90
2338,936,150
2343,936,1170
2344,936,2295
2366,936,120
2367,936,600
2369,936,75
2373,936,375
2374,936,825
2376,936,375
2378,936,45
2390,936,3120
2400,936,120
2407,936,285
2414,936,195
2415,936,75
2419,936,1500
2430,936,225
2431,936,120
2433,936,345
2459,936,195
2462,936,750
2474,936,510
2491,936,1410
2495,936,1005
2497,936,3405
2510,936,1845
2516,936,6060
2517,936,1620
2524,936,600
2525,936,585
2530,936,4200
2531,936,180
2535,936,855
2538,936,30
2540,936,495
2542,936,1785
2561,936,3705
2563,936,915
2574,936,45
2578,936,690
2581,936,120
2590,936,1005
2593,936,210
2595,936,180
2599,936,135
2606,936,870
2609,936,1875
2624,936,435
2633,936,1125
2637,936,90
2654,936,105
2657,936,45
2660,936,135
2677,936,75
2678,936,60
2687,936,225
2690,936,30
2713,936,1020
2737,936,195
2756,936,990
2758,936,150
2765,936,60
2767,936,90
2770,936,45
2799,936,45
2803,936,75
2805,936,375
2807,936,90
2810,936,435
2817,936,75
2818,936,960
2820,936,705
2827,936,165
2833,936,420
2838,936,105
2849,936,3720
2850,936,90
2861,936,105
2880,936,165
2897,936,1440
2916,936,195
2926,936,90
2930,936,1335
2939,936,75
2944,936,105
2954,936,210
2955,936,45
2957,936,270
2968,936,75
2976,936,30
0,126,30
88,126,90
481,126,90
557,126,75
688,126,420
717,126,75
726,126,75
839,126,255
878,126,60
965,126,60
976,126,105
980,126,30
1024,126,60
1069,126,150
1156,126,90
1230,126,90
1397,126,75
1423,126,60
1471,126,75
1639,126,90
1644,126,165
1697,126,825
1736,126,90
1820,126,120
1853,126,30
1907,126,90
2034,126,90
2043,126,180
2059,126,150
2126,126,30
2182,126,90
2201,126,30
2213,126,60
2222,126,420
2223,126,60
2260,126,45
2269,126,90
2338,126,30
2353,126,105
2467,126,165
2542,126,120
2589,126,60
2673,126,165
2707,126,30
2739,126,60
2748,126,135
2772,126,255
2861,126,105
2909,126,90
2926,126,450
2960,126,120
2963,126,255
0,323,45
1,323,165
5,323,225
7,323,795
19,323,150
33,323,3405
44,323,615
48,323,315
60,323,2790
74,323,2715
80,323,165
99,323,4455
108,323,870
117,323,6825
124,323,75
125,323,4095
129,323,5505
133,323,150
151,323,120
188,323,5970
209,323,4815
212,323,1035
218,323,8235
245,323,2385
255,323,690
262,323,300
267,323,2220
277,323,4470
279,323,1995
289,323,4215
300,323,3795
323,323,525
331,323,1125
333,323,1905
338,323,390
340,323,3345
358,323,4980
368,323,855
386,323,195
401,323,465
402,323,3030
409,323,150
420,323,5070
431,323,30
452,323,2010
462,323,1425
467,323,1905
479,323,3045
482,323,180
485,323,75
495,323,1215
499,323,1650
506,323,3090
513,323,1470
533,323,2400
581,323,2610
593,323,1995
597,323,210
598,323,315
652,323,1320
666,323,435
709,323,225
729,323,4965
741,323,915
748,323,2025
754,323,6075
776,323,45
808,323,3615
823,323,1230
830,323,135
836,323,4575
844,323,2385
862,323,2145
864,323,960
886,323,2085
889,323,3180
895,323,2220
899,323,1395
901,323,1155
908,323,705
909,323,330
911,323,1650
916,323,330
922,323,480
929,323,375
945,323,270
959,323,150
961,323,1065
966,323,945
975,323,1155
979,323,3465
983,323,315
984,323,720
986,323,1605
988,323,4350
991,323,1095
996,323,525
1003,323,3765
1009,323,1560
1013,323,2160
1027,323,105
1038,323,210
1071,323,765
1110,323,1305
1111,323,1860
1116,323,225
1119,323,180
1124,323,450
1130,323,390
1150,323,210
1154,323,2415
1180,323,135
1190,323,330
1209,323,2220
1210,323,30
1238,323,5160
1241,323,195
1243,323,1845
1251,323,2955
1264,323,150
1290,323,555
1330,323,1020
1333,323,45
1357,323,300
1373,323,1320
1379,323,285
1387,323,1230
1408,323,375
1431,323,855
1436,323,1365
1438,323,3870
1448,323,105
1455,323,660
1470,323,495
1587,323,1695
1589,323,1470
1605,323,2580
1620,323,195
1624,323,930
1628,323,90
1635,323,120
1637,323,855
1707,323,690
1736,323,510
1738,323,255
1763,323,480
1767,323,825
1778,323,855
1806,323,195
1810,323,6210
1832,323,465
1865,323,4860
1873,323,705
1880,323,1665
1893,323,1935
1910,323,870
1925,323,315
1933,323,120
1935,323,375
1954,323,1290
2003,323,300
2022,323,1020
2055,323,240
2087,323,1200
2100,323,885
2113,323,75
2120,323,165
2122,323,360
2144,323,780
2161,323,2895
2172,323,45
2173,323,255
2182,323,1350
2212,323,165
2221,323,120
2269,323,315
2270,323,345
2271,323,630
2295,323,270
2298,323,75
2314,323,135
2324,323,795
2365,323,195
2370,323,150
2375,323,90
2376,323,1800
2385,323,870
2433,323,900
2440,323,1155
2470,323,1740
2488,323,135
2525,323,750
2532,323,435
2558,323,75
2621,323,60
2643,323,330
2646,323,60
2648,323,540
2668,323,300
2671,323,2685
2695,323,855
2701,323,210
2703,323,90
2715,323,3600
2718,323,195
2736,323,150
2743,323,4950
2752,323,225
2765,323,1890
2843,323,210
2852,323,3315
2886,323,345
2931,323,30
2932,323,900
2933,323,1155
2943,323,105
2953,323,6480
2959,323,1305
0,1059,300
1,1059,780
3,1059,975
4,1059,1020
5,1059,300
6,1059,1530
7,1059,2595
8,1059,1350
9,1059,180
10,1059,135
11,1059,1995
